,name,location,voice_call,video_call,lat,lng
0,인천수어통역센터지역지원본부,"인천광역시 남동구 용천로 208(간석동), 인천사회복지회관 610호",032-882-2776,070-7947-0323,37.4682363,126.7143506
1,서울수어통역센터지역지원본부,"서울특별시 서대문구 경기대로 15(충정로3가), 엘림넷빌딩 3층",02-323-4996,070-7947-0047,37.5608269,126.961678
2,강남구수어통역센터,서울특별시 강남구 학동로343 강남포바타워 지하2층,02-451-6798,070-7947-0036,37.5173705,127.0406054
3,강동구수어통역센터,서울특별시 강동구 성내로52 성원빌딩 6층,02-488-3754,070-7947-2754,37.5283212,127.1257149
4,강북구수어통역센터,"서울특별시 강북구 도봉로 388, 테마빌딩 5층",02-990-0872,070-7947-0872,37.6413448,127.0296313
5,강서구수어통역센터,서울특별시 강서구 발산로 40(외발산동) 서울특별시농수산식품공사 강서지사관리동 419호,02-3665-4474,070-7947-0397,37.5534144,126.8209464
6,관악구수어통역센터,"서울특별시 관악구 쑥고개로 128, 1층",02-865-4466,070-7947-0230,37.4786899,126.9506839
7,광진구수어통역센터,서울특별시 광진구 긴고랑로 72 3층 302호,02-454-3888,070-7947-5888,37.5613773,127.0836755
8,구로구수어통역센터,"서울특별시 구로구 가마산로 272, 강서수도사업소 구로청사 4층 ",02-865-1077,070-7947-0354,37.4957028,126.8906452
9,금천구수어통역센터,서울특별시 금천구 시흥대로147길 30-15070-7947-6949,02-891-8301,070-7947-6949,37.4746353,126.8963042
10,노원구수어통역센터,"서울특별시 노원구 상계로 23길 17, 2층",02-931-6107,070-7947-0246,37.658823,127.0685274
11,도봉구수어통역센터,서울특별시 도봉구 마들로 13길 153 옥산빌딩 4층 (창동),02-900-2331,070-7947-0215,37.6570679,127.0462227
12,동대문구수어통역센터,"서울특별시 동대문구 청계천로 521, 다사랑행복센터 5층",02-962-5798,070-7947-0124,37.5718122,127.0340435
13,동작구수어통역센터,"서울특별시 동작구 만양로3길 14, 3층",02-815-7750,070-7947-0041,37.508058,126.9469703
14,마포구수어통역센터,서울특별시 마포구 월드컵북로213 마포장애인복지회관 3층,02-707-1062,070-7947-1028,37.5692931,126.9054251
15,서대문구수어통역센터,"서울특별시 서대문구 통일로 344, 무악청구아파트상가 201동 B105호",02-395-0490,070-7947-0491,37.5811724,126.9515003
16,서초구수어통역센터,서울특별시 서초구 서운도23길 17 명달경로당내1층,02-575-5120,070-7947-0046,37.4837784,127.0327471
17,성동구수어통역센터,"서울특별시 성동구 청계천로516, 성동장애인생활회관 3층 ",02-2299-3338,070-7947-0035,37.5707411,127.0341819
18,성북구수어통역센터,"서울특별시 성북구 아리랑로4길 22, 201호",02-922-7892,070-7947-0299,37.5948487,127.0173036
19,송파구수어통역센터,"서울특별시 송파구 송파대로460, 3층",02-424-3323,070-7947-1316,37.5076346,127.1054612
20,양천구수어통역센터,"서울특별시 양천구 신정중앙로 86, 4층(신정동, 덕산빌딩)",02-2691-9060,070-7947-5031,37.5264893,126.8611028
21,영등포구수어통역센터,"서울특별시 영등포구 영등포로 363, 4층(HY빌딩)",02-6404-4291,070-7947-4291,37.5144979,126.9187704
